Organization Name,Partner Type,Address,City,State/Province,Zip/Postal Code,PFP Web Page,Latitude,Longitude
Noah's Ark Companion Animal Hospital,Veterinary Partner,1239 Old Murphy Road,Franklin,North Carolina,28734,http://petsforpatriots.org/partners/noahs-ark-companion-animal-hospital/,35.171719,-83.402636
Vet To You,Veterinary Partner,6929 North Hayden Road #C4-482,Scottsdale,Arizona,85250-7970,http://petsforpatriots.org/partners/vet-to-you/,33.537335,-111.9083755
Red Bank Veterinary Hospital Tinton Falls,Veterinary Partner,197 Hance Avenue,Tinton Falls,New Jersey,7724,http://petsforpatriots.org/partners/red-bank-veterinary-hospital-tinton-falls/,40.329692,-74.082968
VCA/SouthPaws Ophthalmology,Veterinary Partner,8500 Arlington Blvd,Fairfax,Virginia,22031,http://petsforpatriots.org/partners/vcasouthpaws-ophthalmology/,38.86597,-77.237947
Kingsland Blvd Animal Clinic,Veterinary Partner,20701 Kingsland Blvd. #105,Katy,Texas,77450,http://petsforpatriots.org/partners/kingsland-blvd-animal-clinic/,29.77537,-95.729703
Union County Pet Hospital,Veterinary Partner,"373 Blue Ridge Hwy
Blairsville, GA 30512

North Georgia Animal Emergency Hospital
Cohutta Animal Clinic
83 Dunbarton Farm Road
Blue Ridge, GA 30513
www.ngaeh.com",Blairsville,Georgia,30512,http://petsforpatriots.org/partners/union-county-pet-hospital/,34.86657,-83.99769
Apalachicola Bay Animal Clinic,Veterinary Partner,"187 Hwy 98 W. 
PO Box 685",Eastpoint,Florida,32328,http://petsforpatriots.org/partners/apalachicola-bay-animal-clinic/,29.73614509,-84.89238585
Commencement Bay Animal Hospital,Veterinary Partner,3511 Sixth Avenue,Tacoma,Washington,98406,http://petsforpatriots.org/partners/commencement-bay-animal-hospital/,47.255532,-122.482927
Philadelphia Animal Hospital,Veterinary Partner,7401 Holstein Ave,Philadelphia,Pennsylvania,19153,http://petsforpatriots.org/partners/philadelphia-animal-hospital/,39.9032494,-75.2290647
Jacksonville Veterinary Hospital,Veterinary Partner,131 Wilmington Highway,Jacksonville,NC,28540,http://petsforpatriots.org/partners/jacksonville-veterinary-hospital/,34.7508089,-77.4518139
Standale Veterinary Hospital,Veterinary Partner,456 Kinney NW,Grand Rapids,Michigan,49534,http://petsforpatriots.org/partners/standale-veterinary-hospital/,42.973255,-85.766045
VCA Woodland Animal Hospital,Veterinary Partner,3012 Shaffer Ave SE,Kentwood,Michigan,49512,http://petsforpatriots.org/partners/vca-woodland-animal-hospital/,42.90875794,-85.58797309
Veterinary Hospital of Virginia Beach,Veterinary Partner,3002 Virginia Beach Blvd,Virginia Beach,Virginia,23452,http://petsforpatriots.org/partners/animal-care-clinic-of-holland-road/,36.844009,-76.076319
Fairview Hospital for Animals,Veterinary Partner,1090 W. South Side Drive,Decatur,Illinois,62521,http://petsforpatriots.org/partners/fairview-hospital-for-animals/,39.824303,-88.97212
Silvercreek Veterinary Clinic,Veterinary Partner,14863 Chillicothe Rd,Novelty,Ohio,44072,http://petsforpatriots.org/partners/silvercreek-veterinary-clinic/,41.463089,-81.339685
VCA Sacramento Veterinary Referral Center,Veterinary Partner,9801 Old Winery Place,Sacramento,California,95827,http://petsforpatriots.org/partners/vca-sacramento-veterinary-referral-center/,38.574735,-121.330159
Bartels Busack Pet Hospital Resort & Spa,Veterinary Partner,6270 State Road,Parma,Ohio,44134,http://petsforpatriots.org/partners/bartels-busack-pet-hospital-resort-and-spa/,41.39341,-81.7105928
Texas County Veterinary Clinic,Veterinary Partner,8102 N Highway 63,Houston,MO,65483,http://petsforpatriots.org/partners/texas-county-veterinary-clinic/,37.35864336,-91.91958675
VCA Bradshaw Animal Hospital,Veterinary Partner,9609 Bradshaw Road,Elk Grove,California,95624,http://petsforpatriots.org/partners/vca-bradshaw-animal-hospital/,38.4084,-121.333851
Merritt Animal Clinic,Veterinary Partner,16100 Dora avenue,Eustis,Florida,32726,http://petsforpatriots.org/partners/merritt-animal-clinic/,28.82208037,-81.69071128
Virginia Beach SPCA Veterinary Clinic,Veterinary Partner,3040 Holland Road,Virginia Beach,Virginia,23453,http://petsforpatriots.org/partners/virginia-beach-spca-veterinary-clinic/,36.7845426,-76.0779901
Kalamazoo Animal Hospital,Veterinary Partner,3301 S. Burdick Street,Kalamazoo,Michigan,49001,http://petsforpatriots.org/partners/kalamazoo-animal-hospital/,42.25841961,-85.57965742
VCA Sacramento Animal Medical Group,Veterinary Partner,4990 Manzanita Avenue,Carmichael,California,95608,http://petsforpatriots.org/partners/vca-sacramento-animal-medical-group/,38.65552,-121.327079
Brookside Animal Hospital,Veterinary Partner,10625 Wiles Rd,Coral Springs,Florida,33076,http://petsforpatriots.org/partners/brookside-animal-hospital/,26.28742713,-80.26839375
Belton Animal Clinic and Exotic Care Center,Veterinary Partner,1308 N. Scott Avenue,Belton,Missouri,64012-1444,http://petsforpatriots.org/partners/belton-animal-clinic-exotic-care-center/,38.8382,-94.534195
Callaway Animal Hospital,Veterinary Partner,247 N Highway 22 A,Panama City,Florida,32404,http://petsforpatriots.org/partners/callaway-animal-hospital/,30.1513022,-85.5998311
Liberty Veterinary Hospital,Veterinary Partner,6823 Yankee Road,Liberty Township,Ohio,45044,http://petsforpatriots.org/partners/liberty-veterinary-hospital/,39.3791728,-84.3851023
Animal Hospital of Las Cruces,Veterinary Partner,3171 N Main Street,Las Cruces,New Mexico,88001,http://petsforpatriots.org/partners/animal-hospital-of-las-cruces/,32.344085,-106.773963
Animal Hospital of Onslow County,Veterinary Partner,296 Doctors Dr,Jacksonville,NC,28546,http://petsforpatriots.org/partners/animal-hospital-of-onslow-county/,34.762307,-77.378494
Holladay Veterinary Hospital,Veterinary Partner,4732 South Highland Drive,Salt Lake City,Utah,84106,http://petsforpatriots.org/partners/holladay-veterinary-hospital/,40.66701175,-111.8395307
VCA American River Animal Hospital,Veterinary Partner,9391 Greenback Lane,Orangevale,California,95662,http://petsforpatriots.org/partners/vca-american-river-animal-hospital/,38.678466,-121.203109
Fairmount Animal Hospital,Veterinary Partner,4101 West Genesee St.,Syracuse,New York,13219,http://petsforpatriots.org/partners/fairmount-animal-hospital/,43.0455318,-76.2430512
Dublin Animal Hospital,Veterinary Partner,888 Dublin Blvd,Colorado Springs,Colorado,80918,http://petsforpatriots.org/partners/dublin-animal-hospital/,38.926114,-104.810777
Adamson Veterinary Services,Veterinary Partner,375 W. State St,Salem,Ohio,44460,http://petsforpatriots.org/partners/adamson-veterinary-services/,40.90084287,-80.86225778
Humane Animal Rescue Veterinary Clinic,Veterinary Partner,6620 Hamilton Avenue,Pittsburgh,Pennsylvania,15206,https://petsforpatriots.org/partners/humane-animal-rescue-veterinary-clinic/,40.45769052,-79.91056727
Mueller Pet Medical Center,Veterinary Partner,7625 Freeport Blvd,Sacramento,California,95832,http://petsforpatriots.org/partners/mueller-pet-medical-center/,38.480076,-121.5038727
Burke Animal Clinic,Veterinary Partner,6307 Lee Chapel Road,Burke,Virginia,22015,http://petsforpatriots.org/partners/burke-animal-clinic/,38.7805252,-77.2766458
Crown Veterinary Hospital,Veterinary Partner,817 Orange Ave,Coronado,California,92118,http://petsforpatriots.org/partners/crown-veterinary-hospital/,32.688215,-117.178036
City Veterinary Hospital,Veterinary Partner,818 Austin Street,San Antonio,Texas,78208,http://petsforpatriots.org/partners/city-veterinary-hospital/,29.437155,-98.475137
Monroe County Animal Hospital,Veterinary Partner,116 Sands Road,Sweetwater,Tennessee,37874,http://petsforpatriots.org/partners/monroe-county-animal-hospital/,35.53781,-84.440826
East Greenbush Animal Hospital,Veterinary Partner,2 Springhurst Drive,East Greenbush,New York,12061,http://petsforpatriots.org/partners/east-greenbush-animal-hospital/,42.5873141,-73.6989055
Pacific Animal Hospital,Veterinary Partner,2801 Oceanside Blvd,Oceanside,CA,92054,http://petsforpatriots.org/partners/pacific-animal-hospital/,33.201513,-117.340796
Chase Animal Hospital,Veterinary Partner,1760 Hwy 72E,Huntsville,Alabama,35811,http://petsforpatriots.org/partners/chase-animal-hospital/,34.77198,-86.529435
VCA County West Animal Hospital,Veterinary Partner,1709 W. Merchant Street,Kankakee,Illinois,60901,https://petsforpatriots.org/partners/vca-county-west-animal-hospital/,41.1202283,-87.8886134
Hillside Veterinary Hospital,Veterinary Partner,191 Augustine Avenue,Charles Town,West Virginia,25414,http://petsforpatriots.org/partners/hillside-veterinary-hospital/,39.282757,-77.863951
Animal Medical of Chesapeake,Veterinary Partner,921 N Battlefield Blvd,Chesapeake,Virginia,23320,http://petsforpatriots.org/partners/animal-medical-of-chesapeake/,36.752499,-76.246343
Rockhill Pet Clinic,Veterinary Partner,800 East 63rd Street,Kansas City,Missouri,64110,http://petsforpatriots.org/partners/rockhill-pet-clinic/,39.0136791,-94.5779512
Rockford Family Vet,Veterinary Partner,"8460 Algoma Ave. NE
Suite D",Rockford,Michigan,49341,http://petsforpatriots.org/partners/rockford-family-vet/,43.11822739,-85.61064079
VCA Greenback Animal Hospital,Veterinary Partner,8311 Greenback Lane,Fair Oaks,California,95628,http://petsforpatriots.org/partners/vca-greenback-animal-hospital/,38.679004,-121.253009
Ballston Animal Hospital,Veterinary Partner,5232 Wilson Boulevard,Arlington,Virginia,22205,http://petsforpatriots.org/partners/ballston-animal-hospital/,38.87701,-77.124946
Auburn Veterinary Hospital (Ohio),Veterinary Partner,10323 East Washington Street,Chagrin Falls,Ohio,44023,http://petsforpatriots.org/partners/auburn-veterinary-hospital/,41.387556,-81.273166
Kenwood Animal Hospital,Veterinary Partner,5439 Butler Road,Bethesda,Maryland,20816,http://petsforpatriots.org/partners/kenwood-animal-hospital/,38.96264,-77.102262
VCA Boulevard Animal Hospital,Veterinary Partner,12620 Nettles Dr.,Newport News,Virginia,23606,http://petsforpatriots.org/partners/vca-boulevard-animal-hospital/,37.084698,-76.497368
Perry Hall Animal Hospital,Veterinary Partner,9022 Belair Road,Baltimore,Maryland,21236,http://petsforpatriots.org/partners/perry-hall-animal-hospital/,39.40021893,-76.4787878
The Baltimore Humane Society Spay/Neuter and Wellness Center,Veterinary Partner,1601 Nicodemus Road,Reisterstown,Maryland,21136,http://petsforpatriots.org/partners/baltimore-humane-society-spay-neuter-wellness-center/,39.446681,-76.869444
Westfield Animal Hospital,Veterinary Partner,357 South Ave E,Westfield,New Jersey,7090,http://petsforpatriots.org/partners/westfield-animal-hospital/,40.650265,-74.336748
Angels of Assisi - veterinary clinic,Veterinary Partner,415 Campbell Avenue SW,Roanoke,Virginia,24016,http://petsforpatriots.org/partners/angels-of-assisi-veterinary-clinic/,37.271554,-79.9493339
Leesburg Animal Hospital,Veterinary Partner,246 Walnut St.,Leesburg,Georgia,31763,http://petsforpatriots.org/partners/leesburg-animal-hospital/,31.722042,-84.172784
Lathrop Veterinary Center,Veterinary Partner,17600 Golden Valley Parkway,Lathrop,California,95330,http://petsforpatriots.org/partners/lathrop-veterinary-center/,37.800965,-121.301384
Newport News Animal Hospital,Veterinary Partner,12494 Warwick Blvd,Newport News,Virginia,23606,http://petsforpatriots.org/partners/newport-news-animal-hospital/,37.07567337,-76.49422694
Great Lakes Hospital for Animals,Veterinary Partner,6273-A West River Dr. NE,Belmont,Michigan,49306,http://petsforpatriots.org/partners/great-lakes-hospital-for-animals/,43.06448788,-85.60093728
Onion River Animal Hospital,Veterinary Partner,36 Three Mile Bridge Road,Middlesex,Vermont,5602,http://petsforpatriots.org/partners/onion-river-animal-hospital/,44.26041353,-72.61489429
Animal Medical Clinic of Loudon County,Veterinary Partner,507 E. Broadway,Lenoir City,Tennessee,37771,http://petsforpatriots.org/partners/animal-medical-clinic-of-loudon-county/,35.794344,-84.261933
Animal Hospital of Colorado Springs,Veterinary Partner,1015 Cheyenne Meadows Road,Colorado Springs,Colorado,80906,http://petsforpatriots.org/partners/animal-hospital-of-colorado-springs/,38.778254,-104.808581
Katy Trail Animal Hospital,Veterinary Partner,4151 McKinney Ave,Dallas,Texas,75204,http://petsforpatriots.org/partners/katy-trail-animal-hospital/,32.815848,-96.791609
Community Pet Hospital,Veterinary Partner,12311 Washington Street,Thornton,Colorado,80241,http://petsforpatriots.org/partners/community-pet-hospital/,39.9202005,-104.978493
Prince George's Animal Hospital,Veterinary Partner,7440 Annapolis Road,Hyattsville,Maryland,20784,http://petsforpatriots.org/partners/prince-georges-animal-hospital/,38.949093,-76.887514
Andes-Straley Veterinary Hospital,Veterinary Partner,3407 Memorial Blvd,Kingsport,Tennessee,37664,http://petsforpatriots.org/partners/andes-straley-veterinary-hospital/,36.532394,-82.509218
Weckwerth Animal Hospital,Veterinary Partner,"35 1st AVE NW
P.O. Box 428",Pelican Rapids,Minnesota,56572,http://petsforpatriots.org/partners/weckwerth-animal-hospital/,46.60331,-96.08572
VCA All Our Pets,Veterinary Partner,1413 60th St.,Sacramento,California,95819,http://petsforpatriots.org/partners/vca-all-our-pets-animal-hospital/,38.55715989,-121.4321801
Essex Middle River Veterinary Center,Veterinary Partner,1609 Eastern Blvd.,Essex,Maryland,21221,http://petsforpatriots.org/partners/essex-middle-river-veterinary-center/,39.320638,-76.453211
Bethel Veterinary Hospital,Veterinary Partner,25A Turkey Plain Road,Bethel,Connecticut,6801,https://petsforpatriots.org/partners/bethel-veterinary-hospital/,41.35094202,-73.41414447
Veterinary Neurology of the Chesapeake,Veterinary Partner,808 Bestgate Rd,Annapolis,Maryland,21401,http://petsforpatriots.org/partners/veterinary-neurology-of-the-chesapeake/,38.99454,-76.536634
Paradise Animal Hospital,Veterinary Partner,6350 Frederick Road,Catonsville,Maryland,21228,http://petsforpatriots.org/partners/paradise-animal-hospital/,39.2759,-76.71689
Lansdowne Animal Hospital,Veterinary Partner,19393 Promenade Drive,Leesburg,Virginia,20176,http://petsforpatriots.org/partners/lansdowne-animal-hospital/,39.080986,-77.494756
Aston Veterinary Hospital,Veterinary Partner,5200 Pennell Road,Media,Pennsylvania,19063,http://petsforpatriots.org/partners/aston-veterinary-hospital/,39.8717536,-75.4287907
Auburn Veterinary Hospital,Veterinary Partner,2052 Fieldview Drive,Auburn,Alabama,36832,http://petsforpatriots.org/partners/auburn-veterinary-hospital-alabama/,32.5581571,-85.531264
Paws 'n Claws Veterinary Clinic,Veterinary Partner,2116 Route 130,Burlington,New Jersey,8016,https://petsforpatriots.org/partners/paws-n-claws-veterinary-clinic/,40.10634,-74.78372
Bay Country Veterinary Hospital,Veterinary Partner,1197 Generals Highway,Crownsville,Maryland,21032,http://petsforpatriots.org/partners/bay-country-veterinary-hospital/,39.04214,-76.606117
Animal & Bird Medical Center,Veterinary Partner,34820 US Hwy 19 N,Palm Harbor,Florida,34684,http://petsforpatriots.org/partners/animal-and-bird-medical-center/,28.08885129,-82.73973864
VCA Far Country Animal Hospital,Veterinary Partner,2701 N Liahona Drive,Palmer,Alaska,99645,https://petsforpatriots.org/partners/vca-far-country-animal-hospital/,61.610847,-149.210698
Deming Veterinary Service,Veterinary Partner,2173 Highway 70 E,Jackson,Tennessee,38305,http://petsforpatriots.org/partners/deming-veterinary-service/,35.685668,-88.739325
VCA Rancho Mirage Animal Hospital,Veterinary Partner,71-075 Highway 111,Rancho Mirage,California,92270,http://petsforpatriots.org/partners/vca-rancho-mirage-animal-hospital/,33.749146,-116.424482
VCA Olympic Animal Hospital,Veterinary Partner,3422 NW Byron Street,Silverdale,WA,98383,http://petsforpatriots.org/partners/vca-olympic-animal-hospital/,47.64467713,-122.6959246
Ridgetop Animal Hospital,Veterinary Partner,1193 NW Tahoe Lane,Silverdale,WA,98383,http://petsforpatriots.org/partners/ridgetop-animal-hospital/,47.670549,-122.667228
Appleseed Valley Veterinary Hospital,Veterinary Partner,2690 Lexington Avenue,Lexington,Ohio,44904,http://petsforpatriots.org/partners/appleseed-valley-veterinary-hospital/,40.68505688,-82.56586198
Clearfork Veterinary Hospital,Veterinary Partner,177 Hines Avenue,Bellville,Ohio,44813,http://petsforpatriots.org/partners/clearfork-veterinary-hospital/,40.6205365,-82.5043498
VCA Oso Creek Animal Hospital and Emergency Center,Veterinary Partner,7713 South Staples Street,Corpus Christi,TX,78413,http://petsforpatriots.org/partners/vca-oso-creek-animal-hospital-and-emergency-center/,27.6630047,-97.3988674
High Ridge Animal Hospital,Veterinary Partner,868 High Ridge Road,Stamford,Connecticut,6905,http://petsforpatriots.org/partners/high-ridge-animal-hospital/,41.100946,-73.548116
Walton Way Veterinary Clinic,Veterinary Partner,"1944 Walton Way
suite L",Augusta,Georgia,30904,http://petsforpatriots.org/partners/walton-way-veterinary-clinic/,33.47296,-82.01571
Honey Creek Veterinary Hospital,Veterinary Partner,210 East Hwy. 6,Trenton,Missouri,64683,http://petsforpatriots.org/partners/honey-creek-veterinary-hospital/,40.07363445,-93.6162308
Willowrun Veterinary Hospital,Veterinary Partner,1417 S. Brightleaf Blvd.,Smithfield,NC,27577,http://petsforpatriots.org/partners/willowrun-veterinary-hospital/,35.491793,-78.356182
Shelter Island Veterinary Hospital,Veterinary Partner,"3625 Midway Drive, Suite T",San Diego,California,92110,http://petsforpatriots.org/partners/shelter-island-veterinary-hospital/,32.75259431,-117.2162875
Lake Chatuge Animal Hospital,Veterinary Partner,1619 State Hwy 17N,Young Harris,Georgia,30582,http://petsforpatriots.org/partners/lake-chatuge-animal-hospital-tri-county-animal-clinic/,34.98726975,-83.82653412
University Animal Hospital,Veterinary Partner,2500 S. Hardy Drive,Tempe,Arizona,85282,http://petsforpatriots.org/partners/university-animal-hospital/,33.401852,-111.952711
Animal Hospital of Pittsford,Veterinary Partner,2816 Monroe Ave,Rochester,New York,14618,http://petsforpatriots.org/partners/animal-hospital-of-pittsford/,43.112248,-77.548514
Animal Hospital of Parkland,Veterinary Partner,12212 Pacific Avenue S.,Tacoma,Washington,98444,http://petsforpatriots.org/partners/animal-hospital-of-parkland-pllc/,47.145024,-122.435022
Mount Hermon Animal Clinic,Veterinary Partner,3620 Franklin Turnpike,Danville,Virginia,24540,http://petsforpatriots.org/partners/mount-hermon-animal-clinic/,36.6699794,-79.4149879
Mt. McKinley Animal Hospital,Veterinary Partner,425 Harold Bentley Ave.,Fairbanks,Alaska,99701,http://petsforpatriots.org/partners/mt-mckinley-animal-hospital/,64.8598712,-147.7034568
Simmons Veterinary Hospital,Veterinary Partner,4975 Lake Worth Rd,Greenacres,Florida,33463,http://petsforpatriots.org/partners/simmons-veterinary-hospital/,26.619487,-80.12145
St.  Tammany Humane Society Vet Clinic,Veterinary Partner,20384 Harrison Ave,Covington,Louisiana,70433,http://petsforpatriots.org/partners/st-tammany-humane-society-vet-clinic/,30.459192,-90.062587
Jefferson Animal Hospital Fern Creek,Veterinary Partner,6902 Bardstown Road,Louisville,Kentucky,40291,http://petsforpatriots.org/partners/jefferson-animal-hospital-fern-creek/,38.146481,-85.58625
Owl Creek Veterinary Hospital,Veterinary Partner,587 S. Birdneck Road,Virginia Beach,Virginia,23451,http://petsforpatriots.org/partners/owl-creek-veterinary-hospital/,36.822328,-76.000644
Town and Country Veterinary Clinic,Veterinary Partner,209 Washburn Dr.,Danville,Virginia,24541,,36.5738742,-79.5061565
Animal Dental Clinic,Veterinary Partner,"410 Maple Ave. West, Ste 1",Vienna,Virginia,22180,http://petsforpatriots.org/partners/animal-dental-clinic/,38.89569523,-77.27233559
Cedarcrest Animal Hospital,Veterinary Partner,2355 Cedarcrest Road,Acworth,Georgia,30101,http://petsforpatriots.org/partners/cedarcrest-animal-hospital/,34.0363734,-84.7755221
Bardstown Veterinary Clinic,Veterinary Partner,1210 N Third St,Bardstown,Kentucky,40004,,37.83339468,-85.46104444
Archibald Pet Hospital,Veterinary Partner,9790 19th street,Alta Loma,California,91737,http://petsforpatriots.org/partners/archibald-pet-hospital/,34.13289713,-117.59184
All Friends Animal Hospital,Veterinary Partner,420 New London Turnpike,Norwich,CT,6360,http://petsforpatriots.org/partners/all-friends-animal-hospital/,41.520478,-72.102861
Willow Creek Pet Center,Veterinary Partner,2055 East Creek Road,Cottonwood Heights,Utah,84093,http://petsforpatriots.org/partners/willow-creek-pet-center/,40.60236498,-111.8317791
Admiral Veterinary Hospital,Veterinary Partner,204 Watt Rd,Knoxville,Tennessee,37934,http://petsforpatriots.org/partners/admiral-veterinary-hospital/,35.864498,-84.22245
VCA Desert Animal Hospital,Veterinary Partner,4299 E. Ramon Rd.,Palm Springs,California,92264,http://petsforpatriots.org/partners/vca-desert-animal-hospital/,33.815058,-116.499934
VCA Anderson Animal Hospital,Veterinary Partner,1285 S. Sheridan Blvd,Lakewood,Colorado,80232,http://petsforpatriots.org/partners/vca-anderson-animal-hospital/,39.693622,-105.053817
Volunteer Veterinary Hospital,Veterinary Partner,3039 Alcoa Hwy,Knoxville,Tennessee,37920,http://petsforpatriots.org/partners/volunteer-veterinary-hospital/,35.908016,-83.955109
HomePetDoctor.com,Veterinary Partner,"8721 Santa Monica Blvd
Unit 533",West Hollywood,California,90069,http://petsforpatriots.org/partners/homepetdoctor-com/,34.08704,-118.38099
Tri-County Animal Clinic,Veterinary Partner,3711 E US Highway 64 Alt,Murphy,North Carolina,28906,http://petsforpatriots.org/partners/lake-chatuge-animal-hospital-tri-county-animal-clinic/,35.07575045,-83.96866321
VCA Alameda East Veterinary Hospital,Veterinary Partner,9770 East Alameda Avenue,Denver,Colorado,80247,http://petsforpatriots.org/partners/vca-alameda-east-veterinary-hospital/,39.708349,-104.874138
Dearborn Family Pet Care,Veterinary Partner,24909 Michigan Ave,Dearborn,Michigan,48124,http://petsforpatriots.org/partners/dearborn-family-pet-care/,42.29791854,-83.28029008
Stratford Hills Veterinary Center,Veterinary Partner,6927 Forest Hill Avenue,Richmond,Virginia,23225,http://petsforpatriots.org/partners/stratford-hills-veterinary-center/,37.537312,-77.522567
Shelton Veterinary Clinic-Interlachen,Veterinary Partner,165 CR 315 South,Interlachen,Florida,32148,http://petsforpatriots.org/partners/shelton-veterinary-clinic-interlachen/,29.6197011,-81.8868535
Fairfax Animal Hospital,Veterinary Partner,"5818 Seminary Rd, Unit D",Falls Church,Virginia,22041,http://petsforpatriots.org/partners/fairfax-animal-hospital/,38.8473079,-77.1269819
Shelton Veterinary Clinic-Elkton,Veterinary Partner,Elkton: 4865 SR 207,Elkton,Florida,32033,http://petsforpatriots.org/partners/shelton-veterinary-clinic-elkton/,29.782512,-81.42722
Shelton Veterinary Clinic-Bunnell,Veterinary Partner,"1108 South State St. 
Suite 100",Bunnell,Florida,32110,http://petsforpatriots.org/partners/shelton-veterinary-clinic-bunnell/,29.457804,-81.249768
Three Trails Animal Hospital,Veterinary Partner,600 W. 23rd Street,Independence,Missouri,64055,http://petsforpatriots.org/partners/three-trails-animal-hospital/,39.0798634,-94.4235512
Healing Hands Animal Hospital,Veterinary Partner,652 W Roy Parker Rd,Ozark,Alabama,36360,http://petsforpatriots.org/partners/healing-hands-animal-hospital/,31.47120091,-85.65126837
Pilchuck Veterinary Hospital,Veterinary Partner,11308 92ND ST SE,Snohomish,Washington,98290,http://petsforpatriots.org/partners/pilchuck-veterinary-hospital/,47.911267,-122.07956
Mt. Pleasant Veterinary Clinic,Veterinary Partner,209 Mt. Pleasant Rd,Chesapeake,Virginia,23322,http://petsforpatriots.org/partners/mt-pleasant-veterinary-clinic/,36.711103,-76.233752
West Geauga Veterinary Hospital,Veterinary Partner,12498 Chillicothe Rd.,Chesterland,Ohio,44026,http://petsforpatriots.org/partners/west-geauga-veterinary-hospital/,41.529155,-81.338698
Have A Heart Animal Hospital,Veterinary Partner,764 Broadway,Haverhill,Massachusetts,1832,http://petsforpatriots.org/partners/have-a-heart-animal-hospital/,42.786824,-71.133315
Quail Hollow Animal Hospital,Veterinary Partner,5740 Wesley Brook Drive,Wesley Chapel,Florida,33545,http://petsforpatriots.org/partners/quail-hollow-animal-hospital/,28.240579,-82.338396
Value Pet Clinic Bellevue,Veterinary Partner,14504 NE 20th Street,Bellevue,Washington,98007,http://petsforpatriots.org/partners/value-pet-clinic-bellevue/,47.62808655,-122.1464852
Value Pet Clinic Kent,Veterinary Partner,12925 SE Kent-Kangley Road,Kent,Washington,98030,http://petsforpatriots.org/partners/value-pet-clinic-kent/,47.3582221,-122.1683609
Value Vet Clinic Puyallup,Veterinary Partner,12314 E Meridian Ave,Puyallup,Washington,98373,http://petsforpatriots.org/partners/value-pet-clinic-puyallup/,47.14416782,-122.293167
Humane Society of Tampa Bay - Animal Health Center,Veterinary Partner,3809 N. Armenia Ave.,Tampa,Florida,33607,http://petsforpatriots.org/partners/humane-society-of-tampa-bay-animal-health-center/,27.972904,-82.484338
Value Pet Clinic Tacoma,Veterinary Partner,4806 Center Street,Tacoma,Washington,98409,http://petsforpatriots.org/partners/value-pet-clinic-tacoma/,47.2334499,-122.5018306
Rock Creek Home Veterinary Care,Veterinary Partner,PO Box 31136,Bethesda,Maryland,20824,http://petsforpatriots.org/partners/rock-creek-home-veterinary-care/,38.98414,-77.09412
Value Pet Clinic Shoreline,Veterinary Partner,15915 Westminster Way N,Shoreline,Washington,98133,http://petsforpatriots.org/partners/value-pet-clinic-shoreline/,47.7445358,-122.3458982
Cats Veterinary,Veterinary Partner,43727 Gratiot,Clinton Twp,Michigan,48036,http://petsforpatriots.org/partners/cats-veterinary/,42.61700759,-82.86768083
Value Pet Clinic Renton,Veterinary Partner,3901 NE 4th Street,Renton,Washington,98056,http://petsforpatriots.org/partners/value-pet-clinic-renton/,47.4880761,-122.1657446
Audubon Veterinary Hospital,Veterinary Partner,9825 Street D,St. Francisville,Louisiana,70775,http://petsforpatriots.org/partners/audubon-veterinary-hospital/,30.8054923,-91.38512133
Mountain Highway Veterinary Hospital,Veterinary Partner,2216 East Lamar Alexander Pkwy,Maryville,Tennessee,37804,http://petsforpatriots.org/partners/mountain-highway-veterinary-hospital/,35.755359,-83.938563
Big Springs Veterinary Hospital,Veterinary Partner,1720 W. Lamar Alexander Pkwy,Maryville,Tennessee,37801,http://petsforpatriots.org/partners/big-springs-veterinary-hospital/,35.75420262,-84.01466512
The Village Vet - Baltimore,Veterinary Partner,1620 Sulgrave Avenue,Baltimore,Maryland,21209,http://petsforpatriots.org/partners/the-village-vet-baltimore/,39.367261,-76.652913
Animal Medical Center of Mid-America St. Louis,Veterinary Partner,1201 Macklind Ave,St. Louis,Missouri,63110,http://petsforpatriots.org/partners/animal-medical-center-of-mid-america-st-louis/,38.6263023,-90.2765546
Dearborn Animal Hospital,Veterinary Partner,235 Dekalb Industrial Way,Decatur,GA,30030,http://petsforpatriots.org/partners/dearborn-animal-hospital/,33.782751,-84.274897
University Parkway Animal Hospital,Veterinary Partner,84 W University Parkway,Jackson,Tennessee,38305,https://petsforpatriots.org/partners/university-parkway-animal-hospital/,35.69566,-88.832344
Animal Medical Center of Mid-America Westport,Veterinary Partner,11660 Administration Drive,Maryland Heights,Missouri,63146,http://petsforpatriots.org/partners/animal-medical-center-of-mid-america-westport/,38.700838,-90.428142
Animal Medical Center of Mid-America Chesterfield Valley,Veterinary Partner,17357 Edison Avenue,Chesterfield,Missouri,63005,http://petsforpatriots.org/partners/animal-medical-center-of-mid-america-chesterfield/,38.66316971,-90.605211
Benessere Animal Hospital,Veterinary Partner,1052 Grecade St.,Greensboro,North Carolina,27408,http://petsforpatriots.org/partners/benessere-animal-hospital/,36.084133,-79.803487
Rehm Animal Clinic,Veterinary Partner,951 Hillcrest Road,Mobile,Alabama,36695,http://petsforpatriots.org/partners/rehm-animal-clinic/,30.6703315,-88.1901213
Media Veterinary Hospital,Veterinary Partner,695 S. Ridley Creek Rd.,Media,Pennsylvania,19063,https://petsforpatriots.org/partners/media-veterinary-hospital/,39.9166459,-75.4028033
Aalatash Animal Hospital,Veterinary Partner,3909 NW 97TH BLVD,Gainesville,Florida,32606,http://petsforpatriots.org/partners/aalatash-animal-hospital/,29.689901,-82.449276
